"method","HighDim20","HighDim50","Imbalanced","LeadLag","Phase","Phase_nowarp","Setting1","Setting2","Setting2_async","Setting2a","Setting2b","Setting3","Setting4","Setting5","Setting5_async","Setting6","Setting6_async","Shape","Shape_async","Shape_noise","SharedWarp","SyncBreak","Thyroid_like","OVERALL"
"MaxDepth-MFHD",34.5387763949107,34.5387763949107,6.34968442042119,1.52616395365484,1.16534151738884,3.33661906048331,34.5387763949107,34.5387763949107,34.5387763949107,34.5387763949107,34.5387763949107,34.5387763949107,34.5387763949107,3.83390446335214,4.64709448836785,29.5793090481998,30.129687188784,34.5387763949107,1.65898581989626,1.47416426048833,34.5387763949107,5.39078061067022,1.56720204106945,20.4602381398606
"1NN-DTW",9.78598664522469,11.5129254649702,5.66052168694369,0,7.32989587936438,2.20664404745263,0.0959410455414185,2.49446718407688,9.28709320840931,3.35793659394965,3.39631301216622,4.27897063114727,7.23395483382296,7.50258976133893,19.207397317392,7.36827229758094,18.8620095534429,0.805904782547915,20.9919007644624,5.2959457138863,5.0656872045869,6.73506139700758,20.2819370274559,7.77205895881613
"1NN-Euclid",9.84355127254954,11.359419792104,6.63912035146616,0.0575646273248512,9.59410455414186,0.211070300191121,2.09151479280292,4.60517018598809,6.79262602433243,5.14244004102003,5.7756509415934,6.23616796019221,11.973442483569,8.61550588961939,10.1313744091738,8.30849454388684,8.57712947140281,2.11070300191121,8.07823603458744,7.15720199738982,7.7712246888549,9.35425194028831,13.9690162308305,7.14760789283568
"DD-classifier",3.28843450250959,4.48541088814955,3.28332519017085,3.30996607117894,11.2291019825789,4.3835521081664,0.496720181646835,4.28855877156105,3.96079746467022,5.4962235025434,4.36518073795456,2.86633746794428,6.04442085794134,4.82337220924775,4.37288237329412,3.21383188908395,3.09427795828994,3.30527485088858,3.5853892680422,3.28862239077555,17.8162521570414,17.3557351384426,4.44970153318865,5.33927693457873
"Euclid + kNN",5.94839921499382,4.0303406604868,6.10442558531341,0.0575646273248512,8.12749043343593,0.141319084510022,1.43080780645998,4.28071047186328,4.89006247473808,4.93408529661566,5.0252532628413,5.80904163064774,10.7314834230476,6.42836833500287,6.2117855058255,5.30794831511319,6.4943561316261,1.96048199932315,2.79801691647046,2.52259542680461,5.72946956538962,6.46934792010496,5.49401029260779,4.82292888611073
"MFKmL-C + kNN",6.77968357515981,7.56411051009584,5.32787655307362,0,2.84533962526065,1.17520105967403,0.649506239033047,0.966768274854357,7.5744851647319,1.37065344902015,1.5893926323525,4.12864913341681,5.55452926669676,3.4018455156819,9.90621959221954,6.77480280294884,9.37141992115407,0.511822716790369,9.94995820569888,2.51884047134837,3.34289901463165,4.01311461037973,9.41858601063202,4.55372627586325
"DTW + kNN",5.09517346123901,3.75261072221356,4.47824032298884,0,2.3119512534399,0.402606362659273,0.0427562714163121,2.15329617885869,5.270945170693,2.81958642674496,2.62000593626528,4.0158048244485,5.97675895267406,3.51292582321969,9.20387887012905,5.31625075063674,8.72182696930778,0.613764549011769,9.42864056993203,1.615428546562,3.16622516416673,3.15498861238524,9.8617750228832,4.06675829399459
"DistSpace-bagdist",4.76364812155157,5.00758569170994,6.68303114880784,0.0287823136624256,5.92214594041808,0,0.949256608661452,2.03823908864145,3.99631310748347,2.26157374439908,2.46852484990356,4.1884562853507,6.02916083939762,3.46074873389955,3.32130662663868,4.11802725266044,3.78737085216514,0.965670239014354,4.07022891519883,2.49785595488611,2.45925061090084,5.13100226110037,5.84386497676952,3.4779149636183
"DistSpace-Frechet",0.611034805510827,0.613070716053234,0.613268532931969,0,2.19164833590182,0.318733539317533,0.545326756501094,0.625830210668648,2.70758866969772,0.58622650181532,1.38059043971575,0.548219514878526,4.18186871047919,0.589640836931578,2.25498706192994,0.567123931973607,2.38079964561879,1.93228554035122,3.22834861572662,2.26290352680535,7.27184326615969,7.78632592384174,6.13028061240558,2.14469329109634
"SFKmL-C(dense) + kNN",0.459957909842632,1.26813784105947,1.19288401524876,0.0866848285773669,1.02973561492524,0.21568881084445,0.225774901746809,0.436717640710131,2.57706932770436,0.624113657308514,0.901299777098068,0.468387691089563,1.5937163678646,0.598360119884801,2.30671153719235,0.731552893424121,2.07413984992477,0.493528512857018,2.37556991561947,1.06486582713686,8.79897462488766,8.93992550147856,5.8245062288464,1.92557840849009
"SFKmL-C + kNN",0.307180401354009,0.480735506850213,0.719845347421942,0,0.784265251513379,0.0215628769079348,0.175616841253841,0.49380128739304,2.61754195322464,0.472830171998269,1.06719161232792,0.419423212532703,3.08811492823146,0.442134074909661,2.25573495783666,0.457363398821429,2.70361894823238,0.648737400669047,1.63560323225866,0.356414254324345,6.22242875569535,6.96909685845888,5.3675025925477,1.63942364629406
"MFPLS-DA",1.84882818184028,5.37713041164357,0.520017331599865,0.293432590413444,2.52640299298162,0,0.117077303549619,0.336095476132844,0.46829537425211,0.336783584939131,0.311536729776555,0.297285454630586,0.680632129403448,0.507242912810723,0.76196231919723,0.811460660227306,0.953051903847574,0.53354247867046,1.11169807243774,1.12011351430009,0.834326306243259,2.19529103365392,1.20714310267716,1.00649347240124
"MaxDepth-MBD",1.07831881638989,1.09033328384554,1.07269752854997,0.625066393739242,1.09666232437239,0.994490598387303,0.710749724793458,0.999996995761135,0.990199476419964,1.02039634290905,1.00052166294994,0.95625749287867,1.05124005904706,1.05921688261479,1.05608545331827,1.05767734265152,1.0575650312776,0.927385533011762,1.03306394737032,1.03055186196703,0.698704295759197,0.694970726201931,1.03950914239924,0.971376561591968
"Subspace",0.935548271092004,1.11661324528479,1.22602472171264,0.417485525101643,0.923549604618727,0.631659069767335,0.847554104898742,1.09878913547723,1.12282964063289,1.0991498309642,1.09224452379272,1.00090170597492,1.11562331438875,1.04736266190659,1.02598891090991,0.938810267751139,0.983001303939967,1.02345228268582,1.01412749223125,0.937949282936532,0.625565132711211,0.624694480468228,1.12090718077962,0.955210073479429
"Euclid + medoid",1.05994837214225,1.08324715460562,0.948390008172314,0.572958161681783,1.09141935616865,0.9912424106597,0.823831107035999,0.943073087150103,0.924452710954392,0.965904752425996,0.938632269147954,0.939517735338454,1.07072033510818,1.02398245804422,1.01525327037436,1.02869005589711,1.02948734047251,0.863675965669414,0.99815955436084,1.01562420894946,0.702641789330903,0.701314888344245,1.02949905257909,0.946159393244067
"MaxDepth-MBD (w)",1.03128877290543,1.03255964051506,1.07833216128073,0.397957343116123,1.09622704083365,1.00941022684074,0.589751684525609,1.0533174905323,0.969475722250729,1.07116517015017,1.02306680532948,1.04403013167754,1.03895622966214,1.04430236390609,0.986758355937581,1.03994501490367,0.977053765334965,0.92678556454109,0.940501658977424,0.934504837214285,0.70047968442728,0.694281129986725,0.976474840599935,0.941592418932554
"1NN-DDTW",1.08393762448302,1.09338920579365,0.9985477972254,0.633910084167637,1.08038992784687,1.06491272142989,0.857841538722994,0.767413102982599,0.978939215213793,0.775773294086852,0.797256104876141,0.856794161194317,1.00105443813637,1.0552019552413,1.08155562609211,1.06078393899592,1.09155016543699,0.808073774308842,1.09495792020852,1.07230625385268,0.458300956120082,0.668691783369745,1.09687491683791,0.933845935070593
"MFKmL-C + medoid",1.06394584561851,1.0847521492708,0.918692116307346,0.558447810737615,1.07422782960059,1.05609486368082,0.725154864907148,0.847454032549847,0.931377660438079,0.837035269937965,0.858036311681695,0.921942833178624,1.03565342084758,0.988129301444872,1.07667764625832,1.02793170574391,1.07969308790152,0.721368916913814,1.08407220820045,1.0258421472549,0.646555505583405,0.681759255918345,1.0715675699325,0.926800537126463
"DTW + DBA",1.07082961250996,1.08996835508471,0.900714759148414,0.451135241964683,1.08763594404992,1.05293272667233,0.647831083694806,0.874888842376577,1.03938017797546,0.985813276231059,0.866647906161,0.860533896803019,0.929049283474441,1.01026021634132,1.08675959056941,1.03320816637349,1.07064976980889,0.831344034641199,1.08399464111413,1.01535691354579,0.557830383074835,0.633735682338848,1.0552904813067,0.92329526022874
"NC-DBA",1.07082961250996,1.08996835508471,0.900714759148414,0.451135241964683,1.08763594404992,1.05293272667233,0.647831083694806,0.874888842376577,1.03938017797546,0.985813276231059,0.866647906161,0.860533896803019,0.929049283474441,1.01026021634132,1.08675959056941,1.03320816637349,1.07064976980889,0.831344034641199,1.08399464111413,1.01535691354579,0.557830383074835,0.633735682338848,1.0552904813067,0.92329526022874
"MFKmL-C + mean",1.04432844015631,1.07543946633981,0.930799791249666,0.55795618657934,1.06365227111418,1.05259928005684,0.718985629145226,0.847398342457932,0.93208285953267,0.849034630875973,0.854376814356082,0.900713762754422,1.00769988119028,0.9485090531761,1.05638546702464,1.00732198001423,1.07427807960855,0.719671162076953,1.07153774059228,1.01644955840228,0.621905792488134,0.67029078812209,1.06328041349374,0.916725973513379
"DTW + medoid",1.05953770708787,1.08323477050869,0.941866507216554,0.47949841475598,1.0657156682441,1.042675112732,0.610938205752316,0.832800959245954,0.922863840133232,0.861268824808411,0.838695193471661,0.900134228852842,0.9747157540687,0.998504144894298,1.08847097970004,1.02562637741066,1.07830078430561,0.761929452512706,1.09358492555287,1.00295065559776,0.67642158813843,0.671593750229387,1.0576170708959,0.91604108330939
"Euclid + centroid",1.02537778685901,1.06299918652497,0.915621332394354,0.532947445045166,1.0895964347751,0.908731911918783,0.751192477303638,0.913674281890258,0.900861098032697,0.938503655074853,0.90946505621308,0.903835747457854,1.05172735392125,0.98248862089363,0.983171134610474,0.984847288002846,0.994116997796621,0.843386943878904,0.97144390950243,0.959082301212229,0.696921778950975,0.696427976980762,1.00323261363527,0.913897970994572
"KmL3d-C (NC-Euclid)",1.02537778685901,1.06299918652497,0.915621332394354,0.532947445045166,1.0895964347751,0.908731911918783,0.751192477303638,0.913674281890258,0.900861098032697,0.938503655074853,0.90946505621308,0.903835747457854,1.05172735392125,0.98248862089363,0.983171134610474,0.984847288002846,0.994116997796621,0.843386943878904,0.97144390950243,0.959082301212229,0.696921778950975,0.696427976980762,1.00323261363527,0.913897970994572
"SFKmL-C(dense) + mean",1.04143073614417,1.07500923938215,0.861725260899262,0.551419501558478,1.04272928724002,0.978133269144514,0.715220306320922,0.71744925639049,0.808691143829849,0.754105848866448,0.716017302938265,0.806001225478832,0.950928539440588,0.906711094511967,0.950971696756027,0.991437681905605,1.01520635422749,0.764032692180771,0.989540650551241,0.961254503791065,0.699000005971715,0.696469067400649,1.02900372693249,0.870542973559261
"SFKmL-C(dense) + medoid",1.04234877012461,1.07676133449188,0.857217941409975,0.552539765904991,1.02084779920307,0.971775926597163,0.706090089325482,0.66966777946827,0.789881823846269,0.701763370924156,0.676186843005957,0.751563253158369,0.864108802004246,0.893713010779939,0.94833372259924,0.981583252756822,1.01960989510294,0.738339751982425,0.998273888510031,0.970801196279817,0.697391762772933,0.702765776642643,1.02805827048586,0.854766262059873
"MFKmL-C + kFDA",0.925683453546817,0.956102540624867,0.712366774537928,0.279176025260638,1.04349276519842,0.933840571331541,0.526099803552703,0.536560445973049,0.819889304287867,0.549530854939375,0.60041991010831,0.599069460911976,0.700386079214861,0.731981083946034,1.09154957530418,0.837488096006653,1.03811022355294,0.565865271335671,1.11356144740498,0.957033866139663,0.482919478963186,0.762297364538723,1.12209195027984,0.77763114552001
"SFKmL-C + mean",0.738394143982584,0.760411511495486,0.659081617036172,0.260074867429133,0.951583903717966,0.769082522486514,0.645043288238902,0.737567933353119,0.795976535521469,0.74515258054713,0.723830506635064,0.739400150308242,0.862532096902406,0.730318958693043,0.802491172382848,0.733432496215549,0.803473948632025,0.76461315501114,0.837057045017534,0.768311357976405,0.698487593137507,0.698745967587903,0.962370363710232,0.747279726783407
"SFKmL-C + medoid",0.692813781199443,0.713163341983266,0.617525010523889,0.254734820327755,0.883418622478673,0.743415568008823,0.644924759387028,0.68638507981157,0.770728687761848,0.691223844018237,0.685897802180821,0.688985540796745,0.794384885563893,0.679333166102201,0.775259693014739,0.684770260085421,0.772888215483567,0.735861110518927,0.823339120865191,0.74167428985494,0.694284219951039,0.705318394987301,0.934006416108832,0.713666810044093
"SFKmL-C(gap) + medoid",0.679888648446977,0.693950698533578,0.614746797993598,0.254734820327755,0.879629910531169,0.742751863711492,0.661786576193826,0.673490824877274,0.786131545322446,0.696952066076284,0.675993430222903,0.683349428493005,0.77128417903822,0.675084569105188,0.774161094504784,0.67911841314197,0.762500030566566,0.738058476477779,0.820626678813907,0.73675227072103,0.697632011259505,0.7047094371142,0.934383960286826,0.710335553554795
"SFKmL-C(gaplab) + medoid",0.681387271083914,0.693950698533578,0.613365309216907,0.254734820327755,0.878849063627218,0.742751863711492,0.642306611809237,0.673760764954036,0.781797774342866,0.691208556463654,0.676210302094091,0.682309558952252,0.755309968621561,0.675077676593855,0.77163913066353,0.678570431428831,0.75816958251346,0.737251782600073,0.82067081902546,0.73673168240962,0.699521113725999,0.706038659019303,0.934370684435553,0.708086266354532
"DTW + kFDA",0.712108111636519,0.808878432734932,0.650952772466484,0.149935083417578,0.814287460250527,0.570529627998829,0.379929974944592,0.568717886121149,0.836275379005821,0.569321810678944,0.608701008881372,0.629381287775217,0.622384170779833,0.698846282939138,1.04014150312142,0.705590924885028,1.03528806579078,0.570364948504854,1.1029509674151,0.741958058484776,0.475177616244197,0.635741717445321,1.10368065444942,0.697006249824862
"SFKmL-C(dense) + kFDA",0.632821752304367,0.653901077892507,0.580213501915767,0.178538979707459,0.74905070459742,0.591800872458433,0.473047652373566,0.530173501871068,0.685057841009098,0.533491268492202,0.574852240877609,0.558587151368928,0.619520798890585,0.632072257282521,0.819079024067513,0.643509922345831,0.838446303304592,0.571642095245457,0.822935758847079,0.702323516471891,0.809475277278309,0.847617237913633,0.9438009570559,0.651824334503119
"Euclid + kFDA",0.707115667167325,0.806938417798541,0.546349894172261,0.170345268886263,1.04216333604851,0.516205683878204,0.425748475085794,0.511694816669761,0.610438590559382,0.51286219621014,0.544508716099169,0.5315246142497,0.612770158888499,0.577040768237481,0.672660144501364,0.637575760269662,0.67806299411182,0.560225325106532,0.704342472688127,0.704286706189696,0.545042287817205,0.656893010235474,0.832383649157591,0.613355606696891
"SFKmL-C + kFDA",0.528239892917856,0.530712102321254,0.525936565834479,0.149600949697306,0.673799912052717,0.562688106891369,0.47545543470301,0.515779123037354,0.727781327351398,0.511583192428579,0.577361543907514,0.520935915938695,0.579777593557208,0.521344434005322,0.69486118163618,0.52289228326172,0.693251672636702,0.576175039640308,0.644512128563554,0.575511705380393,0.85105180777376,0.823546254556648,0.781429023511275,0.589749008330635
"MFPCA-LDA",0.534203553295246,0.556930323006404,0.474417835327141,0.192672554045416,1.13073035658942,3.20731096002824e-18,0.0608582530657267,0.431707405733661,0.458027444218798,0.552286650528723,0.433506856230708,0.480407760193212,0.933634656953354,0.476824019203251,0.543245377011394,0.495905242490315,0.490871480341019,0.511268632551547,0.555884867079507,0.497300329318177,0.786945675458449,0.788507425645171,0.788205221209067,0.529319213891118
"MFKmL-C + SVM",0.462307380577443,0.647951983877365,0.365304588033086,0.046682026745553,0.880908039616017,0.547434129395319,0.221821864467931,0.176393596746483,0.674882544119874,0.191600351264686,0.239462611802126,0.207098394822527,0.709206752507631,0.425751379212315,1.01071385814464,0.345280529118404,1.042154304514,0.137932320181229,1.06326452597408,0.613708549192564,0.437007574525696,0.562138762512672,1.04416730071743,0.524051016003003
"DTW + SVM",0.442625113229353,0.527503091236984,0.291628320195834,0.118778818592674,0.59009843280815,0.0478898610165156,0.070009989874836,0.248072077582383,0.545155399797725,0.304320386706403,0.291383393851568,0.246076881375819,0.523455918180999,0.350417397963696,0.972402260150651,0.365655327032796,1.03024893034692,0.148184292509146,1.03970486938535,0.301067236327356,0.472474770167452,0.411084406554447,1.02894041458322,0.450746851716099
"Euclid + SVM",0.450724497104512,0.517199045030239,0.34385034837968,0.0845087910089892,1.08740382594266,0.0303472983863551,0.0989327103354997,0.245010604840214,0.378281944449999,0.321618782100789,0.294054062539796,0.327780377965202,0.810399252844528,0.432718280593281,0.484955614157984,0.411528193306305,0.420916381830706,0.327989378280378,0.487878622352956,0.469603897121646,0.665327844197857,0.717901013941455,0.739900378409249,0.441253528048708
"MFPCA-SVM",0.420654301935832,0.566149504524039,0.298014420723775,0.0364646523699599,0.797384529417153,0.0441545886910394,0.246130194662574,0.174396690691969,0.358397870296636,0.201530327729733,0.244205940417106,0.296825352620944,0.732967769121051,0.30884467267838,0.486089080971914,0.347440695722463,0.428845358399219,0.175974581967178,0.460160744240975,0.343555012318925,0.525887385514905,0.578195617646782,0.726706154779266,0.382564149888775
"SFKmL-C + SVM",0.121835331661197,0.124314499649542,0.114309123659775,0.0380854299415114,0.226187043414148,0.0827807856791394,0.0793628450565198,0.129525675590365,0.445322124793154,0.136379626024083,0.20127311463272,0.122222152308494,0.366965151590032,0.130063205981061,0.405862862996761,0.123705787208935,0.376341484984464,0.151626542210092,0.330181253737471,0.152835159959051,0.713829132519955,0.731291156763258,0.71819804665144,0.261847719000573
"SFKmL-C(dense) + SVM",0.150618899264194,0.249297027075696,0.113480858512943,0.0389896171702054,0.236192251907469,0.0773637691666511,0.0872237160647076,0.116552873722912,0.351950336870653,0.136997216023338,0.156834244518499,0.101852194495637,0.235264754121744,0.137111870607046,0.367047846305754,0.139527987085082,0.346698477163504,0.147280637460329,0.337879015704635,0.180007396999072,0.721000344182217,0.736537090953633,0.734444478883174,0.2565283871417
