"dataset","seed","fold","frechet_sparse","frechet_dense","euclid_sparse","euclid_dense","n_sel","p"
"Setting5",1,1,1,0.944444444444444,1,0.833333333333333,2,5
"Setting5",1,2,1,0.888888888888889,0.944444444444444,0.833333333333333,2,5
"Setting5",1,3,0.944444444444444,0.888888888888889,0.944444444444444,0.888888888888889,2,5
"Setting5",1,4,1,1,0.833333333333333,0.833333333333333,2,5
"Setting5",1,5,1,1,0.944444444444444,0.722222222222222,2,5
"Setting5",2,1,1,0.888888888888889,1,0.666666666666667,2,5
"Setting5",2,2,0.944444444444444,0.944444444444444,0.888888888888889,0.722222222222222,2,5
"Setting5",2,3,1,0.944444444444444,1,0.666666666666667,2,5
"Setting5",2,4,1,0.888888888888889,0.944444444444444,0.611111111111111,2,5
"Setting5",2,5,0.944444444444444,1,0.833333333333333,0.555555555555556,2,5
"Setting5",3,1,1,0.944444444444444,1,0.833333333333333,2,5
"Setting5",3,2,0.888888888888889,0.944444444444444,0.722222222222222,0.666666666666667,2,5
"Setting5",3,3,1,0.944444444444444,0.944444444444444,0.722222222222222,2,5
"Setting5",3,4,0.944444444444444,0.833333333333333,0.888888888888889,0.555555555555556,2,5
"Setting5",3,5,1,0.888888888888889,0.777777777777778,0.611111111111111,2,5
"Setting5",4,1,1,0.944444444444444,0.944444444444444,0.888888888888889,2,5
"Setting5",4,2,1,0.888888888888889,0.777777777777778,0.777777777777778,4,5
"Setting5",4,3,1,1,0.777777777777778,0.777777777777778,3,5
"Setting5",4,4,1,1,0.833333333333333,0.833333333333333,2,5
"Setting5",4,5,1,1,0.888888888888889,0.611111111111111,2,5
"Setting5",5,1,1,1,0.888888888888889,0.777777777777778,2,5
"Setting5",5,2,1,1,0.888888888888889,0.777777777777778,2,5
"Setting5",5,3,1,1,0.944444444444444,0.666666666666667,2,5
"Setting5",5,4,1,0.888888888888889,0.888888888888889,0.777777777777778,2,5
"Setting5",5,5,1,1,0.944444444444444,0.666666666666667,2,5
"Setting5",6,1,0.944444444444444,0.944444444444444,0.944444444444444,0.888888888888889,2,5
"Setting5",6,2,0.944444444444444,1,0.944444444444444,0.777777777777778,2,5
"Setting5",6,3,1,1,0.833333333333333,0.666666666666667,2,5
"Setting5",6,4,1,1,0.833333333333333,0.722222222222222,2,5
"Setting5",6,5,1,0.944444444444444,1,0.888888888888889,2,5
"Setting5",7,1,1,0.944444444444444,0.888888888888889,0.833333333333333,2,5
"Setting5",7,2,0.944444444444444,0.833333333333333,0.888888888888889,0.888888888888889,2,5
"Setting5",7,3,1,1,0.944444444444444,0.666666666666667,2,5
"Setting5",7,4,0.944444444444444,0.944444444444444,0.833333333333333,0.777777777777778,4,5
"Setting5",7,5,1,1,0.944444444444444,0.666666666666667,2,5
"Setting5",8,1,1,1,0.944444444444444,0.888888888888889,2,5
"Setting5",8,2,1,1,1,0.611111111111111,2,5
"Setting5",8,3,1,0.944444444444444,0.833333333333333,0.833333333333333,2,5
"Setting5",8,4,1,0.944444444444444,1,0.833333333333333,2,5
"Setting5",8,5,0.944444444444444,0.944444444444444,0.944444444444444,0.722222222222222,5,5
"Setting5",9,1,0.944444444444444,0.944444444444444,0.944444444444444,0.722222222222222,2,5
"Setting5",9,2,1,0.944444444444444,0.944444444444444,0.833333333333333,2,5
"Setting5",9,3,1,1,0.944444444444444,0.833333333333333,2,5
"Setting5",9,4,1,1,1,0.944444444444444,2,5
"Setting5",9,5,0.944444444444444,0.944444444444444,0.944444444444444,0.888888888888889,2,5
"Setting5",10,1,1,1,0.944444444444444,0.722222222222222,2,5
"Setting5",10,2,1,1,1,0.888888888888889,2,5
"Setting5",10,3,1,0.944444444444444,1,0.888888888888889,2,5
"Setting5",10,4,1,1,0.944444444444444,0.722222222222222,2,5
"Setting5",10,5,1,0.888888888888889,0.944444444444444,0.777777777777778,2,5
"Setting5",11,1,1,1,1,0.888888888888889,2,5
"Setting5",11,2,1,1,1,0.777777777777778,2,5
"Setting5",11,3,1,1,0.888888888888889,0.722222222222222,2,5
"Setting5",11,4,0.944444444444444,0.944444444444444,0.777777777777778,0.777777777777778,5,5
"Setting5",11,5,1,0.888888888888889,0.944444444444444,0.722222222222222,2,5
"Setting5",12,1,1,1,0.888888888888889,0.777777777777778,5,5
"Setting5",12,2,1,0.944444444444444,0.888888888888889,0.666666666666667,5,5
"Setting5",12,3,0.944444444444444,1,0.944444444444444,0.944444444444444,2,5
"Setting5",12,4,1,0.944444444444444,0.944444444444444,0.777777777777778,5,5
"Setting5",12,5,1,1,1,0.777777777777778,2,5
"Setting5",13,1,1,0.944444444444444,1,0.777777777777778,2,5
"Setting5",13,2,0.944444444444444,1,0.833333333333333,0.666666666666667,2,5
"Setting5",13,3,1,0.944444444444444,1,0.722222222222222,2,5
"Setting5",13,4,0.944444444444444,0.944444444444444,0.944444444444444,0.833333333333333,2,5
"Setting5",13,5,1,0.944444444444444,1,0.833333333333333,2,5
"Setting5",14,1,1,0.944444444444444,0.944444444444444,0.666666666666667,2,5
"Setting5",14,2,1,1,0.888888888888889,0.666666666666667,2,5
"Setting5",14,3,1,0.944444444444444,0.833333333333333,0.722222222222222,5,5
"Setting5",14,4,0.888888888888889,0.888888888888889,0.722222222222222,0.555555555555556,5,5
"Setting5",14,5,0.833333333333333,1,0.833333333333333,0.666666666666667,2,5
"Setting5",15,1,1,1,0.944444444444444,0.888888888888889,2,5
"Setting5",15,2,0.888888888888889,0.888888888888889,0.833333333333333,0.777777777777778,4,5
"Setting5",15,3,1,0.944444444444444,0.888888888888889,0.722222222222222,2,5
"Setting5",15,4,1,1,0.722222222222222,0.555555555555556,5,5
"Setting5",15,5,1,0.944444444444444,0.777777777777778,0.666666666666667,4,5
"Setting5",16,1,1,1,0.944444444444444,0.777777777777778,2,5
"Setting5",16,2,0.944444444444444,1,0.888888888888889,0.777777777777778,2,5
"Setting5",16,3,1,1,1,0.833333333333333,2,5
"Setting5",16,4,1,0.944444444444444,1,0.611111111111111,2,5
"Setting5",16,5,0.944444444444444,0.944444444444444,0.944444444444444,0.777777777777778,2,5
"Setting5",17,1,1,1,1,0.722222222222222,2,5
"Setting5",17,2,1,0.944444444444444,1,0.722222222222222,2,5
"Setting5",17,3,1,0.888888888888889,0.833333333333333,0.666666666666667,2,5
"Setting5",17,4,1,0.944444444444444,1,0.666666666666667,2,5
"Setting5",17,5,1,0.833333333333333,0.888888888888889,0.722222222222222,2,5
"Setting5",18,1,1,1,1,0.833333333333333,2,5
"Setting5",18,2,1,0.944444444444444,1,0.888888888888889,2,5
"Setting5",18,3,0.944444444444444,0.944444444444444,0.944444444444444,0.833333333333333,2,5
"Setting5",18,4,1,0.888888888888889,0.944444444444444,0.722222222222222,2,5
"Setting5",18,5,0.944444444444444,0.944444444444444,0.944444444444444,0.555555555555556,2,5
"Setting5",19,1,1,0.944444444444444,1,0.777777777777778,2,5
"Setting5",19,2,0.944444444444444,0.833333333333333,0.944444444444444,0.777777777777778,2,5
"Setting5",19,3,1,0.888888888888889,1,0.611111111111111,2,5
"Setting5",19,4,1,0.888888888888889,1,0.944444444444444,2,5
"Setting5",19,5,1,0.888888888888889,1,0.833333333333333,2,5
"Setting5",20,1,0.888888888888889,1,0.888888888888889,0.611111111111111,2,5
"Setting5",20,2,0.944444444444444,0.833333333333333,0.944444444444444,0.555555555555556,2,5
"Setting5",20,3,1,1,0.944444444444444,0.722222222222222,2,5
"Setting5",20,4,1,0.888888888888889,0.944444444444444,0.777777777777778,2,5
"Setting5",20,5,1,0.944444444444444,1,0.611111111111111,2,5
"Setting6",1,1,1,1,1,0.888888888888889,2,10
"Setting6",1,2,1,0.833333333333333,0.944444444444444,0.777777777777778,2,10
"Setting6",1,3,0.944444444444444,1,0.944444444444444,0.722222222222222,2,10
"Setting6",1,4,1,0.944444444444444,0.833333333333333,0.777777777777778,2,10
"Setting6",1,5,1,1,0.944444444444444,0.722222222222222,2,10
"Setting6",2,1,1,0.888888888888889,0.944444444444444,0.722222222222222,9,10
"Setting6",2,2,0.944444444444444,0.888888888888889,0.888888888888889,0.722222222222222,2,10
"Setting6",2,3,0.944444444444444,0.888888888888889,0.888888888888889,0.833333333333333,2,10
"Setting6",2,4,1,0.944444444444444,0.944444444444444,0.722222222222222,2,10
"Setting6",2,5,1,0.833333333333333,0.833333333333333,0.833333333333333,2,10
"Setting6",3,1,1,0.944444444444444,1,0.611111111111111,2,10
"Setting6",3,2,0.888888888888889,0.888888888888889,0.722222222222222,0.722222222222222,2,10
"Setting6",3,3,1,0.944444444444444,0.944444444444444,0.888888888888889,2,10
"Setting6",3,4,0.944444444444444,0.944444444444444,0.888888888888889,0.555555555555556,2,10
"Setting6",3,5,1,0.944444444444444,0.777777777777778,0.722222222222222,3,10
"Setting6",4,1,1,1,0.944444444444444,1,10,10
"Setting6",4,2,1,0.833333333333333,0.777777777777778,0.833333333333333,3,10
"Setting6",4,3,1,0.833333333333333,0.888888888888889,0.722222222222222,8,10
"Setting6",4,4,1,0.888888888888889,0.777777777777778,0.888888888888889,2,10
"Setting6",4,5,1,1,0.944444444444444,0.666666666666667,10,10
"Setting6",5,1,1,0.888888888888889,0.944444444444444,0.722222222222222,2,10
"Setting6",5,2,1,1,0.888888888888889,0.888888888888889,2,10
"Setting6",5,3,1,1,1,0.944444444444444,2,10
"Setting6",5,4,1,0.833333333333333,0.777777777777778,0.777777777777778,2,10
"Setting6",5,5,1,1,1,0.888888888888889,2,10
"Setting6",6,1,0.944444444444444,1,0.944444444444444,0.722222222222222,2,10
"Setting6",6,2,0.944444444444444,0.888888888888889,0.944444444444444,0.722222222222222,2,10
"Setting6",6,3,1,0.944444444444444,0.833333333333333,0.722222222222222,2,10
"Setting6",6,4,1,0.944444444444444,0.833333333333333,0.666666666666667,2,10
"Setting6",6,5,1,0.944444444444444,1,0.722222222222222,2,10
"Setting6",7,1,1,0.888888888888889,0.888888888888889,0.722222222222222,2,10
"Setting6",7,2,0.944444444444444,0.888888888888889,0.944444444444444,0.666666666666667,2,10
"Setting6",7,3,1,1,0.888888888888889,0.833333333333333,2,10
"Setting6",7,4,0.944444444444444,0.944444444444444,0.888888888888889,0.777777777777778,10,10
"Setting6",7,5,1,0.944444444444444,0.833333333333333,0.944444444444444,2,10
"Setting6",8,1,1,1,0.944444444444444,0.666666666666667,2,10
"Setting6",8,2,1,0.944444444444444,0.944444444444444,0.666666666666667,2,10
"Setting6",8,3,1,1,0.833333333333333,0.833333333333333,2,10
"Setting6",8,4,1,0.944444444444444,0.944444444444444,0.777777777777778,6,10
"Setting6",8,5,0.944444444444444,0.944444444444444,0.888888888888889,0.722222222222222,8,10
"Setting6",9,1,0.944444444444444,1,0.944444444444444,0.722222222222222,2,10
"Setting6",9,2,1,0.944444444444444,0.944444444444444,0.944444444444444,2,10
"Setting6",9,3,1,0.944444444444444,1,0.833333333333333,2,10
"Setting6",9,4,1,1,1,0.944444444444444,2,10
"Setting6",9,5,0.944444444444444,1,0.944444444444444,0.833333333333333,2,10
"Setting6",10,1,0.944444444444444,1,0.944444444444444,0.777777777777778,2,10
"Setting6",10,2,1,1,0.944444444444444,0.777777777777778,2,10
"Setting6",10,3,1,0.944444444444444,1,0.833333333333333,2,10
"Setting6",10,4,1,1,0.944444444444444,0.722222222222222,2,10
"Setting6",10,5,1,0.944444444444444,0.888888888888889,0.777777777777778,2,10
"Setting6",11,1,1,0.944444444444444,1,0.777777777777778,2,10
"Setting6",11,2,1,0.944444444444444,0.944444444444444,0.833333333333333,10,10
"Setting6",11,3,1,1,0.888888888888889,0.777777777777778,2,10
"Setting6",11,4,0.944444444444444,0.888888888888889,0.777777777777778,0.611111111111111,2,10
"Setting6",11,5,1,1,0.888888888888889,0.888888888888889,2,10
"Setting6",12,1,1,0.944444444444444,0.888888888888889,0.833333333333333,2,10
"Setting6",12,2,1,0.944444444444444,0.888888888888889,0.833333333333333,2,10
"Setting6",12,3,0.944444444444444,1,0.944444444444444,0.777777777777778,2,10
"Setting6",12,4,1,0.888888888888889,0.888888888888889,0.833333333333333,8,10
"Setting6",12,5,1,0.888888888888889,1,0.833333333333333,2,10
"Setting6",13,1,1,0.888888888888889,1,0.611111111111111,2,10
"Setting6",13,2,1,0.944444444444444,0.888888888888889,0.611111111111111,2,10
"Setting6",13,3,1,1,1,0.777777777777778,2,10
"Setting6",13,4,1,0.944444444444444,0.944444444444444,0.666666666666667,2,10
"Setting6",13,5,1,0.944444444444444,1,0.666666666666667,2,10
"Setting6",14,1,1,0.888888888888889,0.944444444444444,0.777777777777778,2,10
"Setting6",14,2,1,1,0.888888888888889,0.777777777777778,2,10
"Setting6",14,3,1,0.944444444444444,0.833333333333333,0.777777777777778,2,10
"Setting6",14,4,0.888888888888889,0.833333333333333,0.722222222222222,0.666666666666667,2,10
"Setting6",14,5,1,0.888888888888889,0.777777777777778,0.833333333333333,2,10
"Setting6",15,1,1,0.944444444444444,0.944444444444444,0.833333333333333,2,10
"Setting6",15,2,0.888888888888889,0.888888888888889,0.833333333333333,0.722222222222222,2,10
"Setting6",15,3,1,0.944444444444444,0.888888888888889,0.722222222222222,2,10
"Setting6",15,4,1,0.944444444444444,0.777777777777778,0.777777777777778,2,10
"Setting6",15,5,1,0.944444444444444,0.777777777777778,0.722222222222222,2,10
"Setting6",16,1,1,1,0.944444444444444,0.722222222222222,2,10
"Setting6",16,2,0.944444444444444,1,0.888888888888889,0.666666666666667,2,10
"Setting6",16,3,1,1,0.944444444444444,0.555555555555556,2,10
"Setting6",16,4,1,1,1,0.833333333333333,2,10
"Setting6",16,5,0.944444444444444,0.888888888888889,0.833333333333333,0.722222222222222,2,10
"Setting6",17,1,1,0.888888888888889,1,0.5,2,10
"Setting6",17,2,1,0.888888888888889,1,0.555555555555556,2,10
"Setting6",17,3,1,0.888888888888889,0.833333333333333,0.722222222222222,2,10
"Setting6",17,4,1,1,1,0.777777777777778,2,10
"Setting6",17,5,1,0.833333333333333,0.944444444444444,0.666666666666667,9,10
"Setting6",18,1,1,1,0.833333333333333,0.777777777777778,10,10
"Setting6",18,2,1,1,1,0.888888888888889,2,10
"Setting6",18,3,0.944444444444444,0.944444444444444,0.944444444444444,0.777777777777778,2,10
"Setting6",18,4,1,0.888888888888889,0.888888888888889,0.833333333333333,2,10
"Setting6",18,5,1,0.944444444444444,0.944444444444444,0.722222222222222,2,10
"Setting6",19,1,1,0.888888888888889,1,0.777777777777778,2,10
"Setting6",19,2,0.944444444444444,0.944444444444444,0.944444444444444,0.722222222222222,2,10
"Setting6",19,3,1,0.777777777777778,1,0.666666666666667,2,10
"Setting6",19,4,1,1,1,0.833333333333333,2,10
"Setting6",19,5,1,0.833333333333333,1,0.611111111111111,2,10
"Setting6",20,1,0.888888888888889,0.777777777777778,0.888888888888889,0.833333333333333,2,10
"Setting6",20,2,0.944444444444444,0.833333333333333,0.944444444444444,0.666666666666667,2,10
"Setting6",20,3,1,0.944444444444444,0.944444444444444,0.722222222222222,7,10
"Setting6",20,4,1,0.888888888888889,1,0.833333333333333,2,10
"Setting6",20,5,1,0.944444444444444,0.944444444444444,0.722222222222222,9,10
"Shape_noise",1,1,1,1,0.888888888888889,0.833333333333333,2,5
"Shape_noise",1,2,1,1,0.944444444444444,0.888888888888889,5,5
"Shape_noise",1,3,1,0.944444444444444,0.944444444444444,0.944444444444444,5,5
"Shape_noise",1,4,1,0.888888888888889,0.944444444444444,0.944444444444444,4,5
"Shape_noise",1,5,1,0.944444444444444,0.944444444444444,0.777777777777778,5,5
"Shape_noise",2,1,1,1,0.944444444444444,0.944444444444444,2,5
"Shape_noise",2,2,1,1,0.944444444444444,0.944444444444444,2,5
"Shape_noise",2,3,0.944444444444444,0.888888888888889,0.944444444444444,0.833333333333333,5,5
"Shape_noise",2,4,1,1,0.888888888888889,0.944444444444444,2,5
"Shape_noise",2,5,1,0.888888888888889,0.944444444444444,0.833333333333333,2,5
"Shape_noise",3,1,1,0.944444444444444,1,0.888888888888889,2,5
"Shape_noise",3,2,1,0.888888888888889,0.833333333333333,0.833333333333333,4,5
"Shape_noise",3,3,1,0.833333333333333,0.888888888888889,0.833333333333333,2,5
"Shape_noise",3,4,1,0.833333333333333,0.944444444444444,0.888888888888889,5,5
"Shape_noise",3,5,1,0.833333333333333,1,0.722222222222222,5,5
"Shape_noise",4,1,1,1,1,0.888888888888889,2,5
"Shape_noise",4,2,0.944444444444444,0.777777777777778,0.833333333333333,0.833333333333333,2,5
"Shape_noise",4,3,0.944444444444444,0.888888888888889,0.722222222222222,0.777777777777778,2,5
"Shape_noise",4,4,1,0.944444444444444,1,0.888888888888889,2,5
"Shape_noise",4,5,1,0.944444444444444,0.888888888888889,0.944444444444444,2,5
"Shape_noise",5,1,1,0.722222222222222,1,0.944444444444444,2,5
"Shape_noise",5,2,1,0.944444444444444,0.944444444444444,0.833333333333333,2,5
"Shape_noise",5,3,1,0.944444444444444,0.888888888888889,0.833333333333333,2,5
"Shape_noise",5,4,1,0.888888888888889,1,0.888888888888889,2,5
"Shape_noise",5,5,1,0.944444444444444,1,0.833333333333333,2,5
"Shape_noise",6,1,1,0.833333333333333,0.944444444444444,0.944444444444444,2,5
"Shape_noise",6,2,1,1,0.944444444444444,0.833333333333333,2,5
"Shape_noise",6,3,0.944444444444444,0.944444444444444,0.777777777777778,0.833333333333333,2,5
"Shape_noise",6,4,1,0.888888888888889,0.833333333333333,0.833333333333333,2,5
"Shape_noise",6,5,1,1,0.944444444444444,0.833333333333333,2,5
"Shape_noise",7,1,1,1,0.833333333333333,0.777777777777778,5,5
"Shape_noise",7,2,1,0.833333333333333,0.944444444444444,1,2,5
"Shape_noise",7,3,0.944444444444444,0.888888888888889,0.944444444444444,0.888888888888889,2,5
"Shape_noise",7,4,1,0.888888888888889,1,0.888888888888889,2,5
"Shape_noise",7,5,1,1,0.888888888888889,0.888888888888889,2,5
"Shape_noise",8,1,1,0.944444444444444,0.722222222222222,0.722222222222222,2,5
"Shape_noise",8,2,1,0.944444444444444,0.944444444444444,0.777777777777778,2,5
"Shape_noise",8,3,1,0.777777777777778,0.888888888888889,0.777777777777778,2,5
"Shape_noise",8,4,1,0.888888888888889,0.833333333333333,0.833333333333333,2,5
"Shape_noise",8,5,1,0.944444444444444,1,0.944444444444444,2,5
"Shape_noise",9,1,1,0.944444444444444,1,0.888888888888889,2,5
"Shape_noise",9,2,1,1,0.944444444444444,0.888888888888889,2,5
"Shape_noise",9,3,0.944444444444444,0.944444444444444,0.777777777777778,0.722222222222222,2,5
"Shape_noise",9,4,1,0.888888888888889,0.944444444444444,0.888888888888889,2,5
"Shape_noise",9,5,1,0.944444444444444,1,0.888888888888889,2,5
"Shape_noise",10,1,1,0.888888888888889,0.944444444444444,0.777777777777778,2,5
"Shape_noise",10,2,1,1,1,0.944444444444444,2,5
"Shape_noise",10,3,1,1,1,0.833333333333333,2,5
"Shape_noise",10,4,1,0.944444444444444,1,1,2,5
"Shape_noise",10,5,1,0.944444444444444,0.833333333333333,0.777777777777778,2,5
"Shape_noise",11,1,1,0.944444444444444,0.944444444444444,0.944444444444444,2,5
"Shape_noise",11,2,0.944444444444444,0.888888888888889,0.888888888888889,0.777777777777778,2,5
"Shape_noise",11,3,1,0.888888888888889,0.944444444444444,0.888888888888889,2,5
"Shape_noise",11,4,1,1,0.944444444444444,0.944444444444444,4,5
"Shape_noise",11,5,1,0.944444444444444,0.944444444444444,0.944444444444444,2,5
"Shape_noise",12,1,1,1,1,0.944444444444444,2,5
"Shape_noise",12,2,1,0.944444444444444,1,0.944444444444444,2,5
"Shape_noise",12,3,1,1,1,0.888888888888889,2,5
"Shape_noise",12,4,1,0.888888888888889,0.944444444444444,0.944444444444444,2,5
